日期,最高温度,最低温度,天气,风向,风级,空气质量
2019/1/1,1℃,-10℃,晴~多云,西北风,1级,良
2019/1/2,1℃,-9℃,多云,东北风,1级,良
2019/1/3,2℃,-7℃,霾,东北风,1级,中度污染
2019/1/4,2℃,-7℃,晴,西北风,2级,优
2019/1/5,0℃,-8℃,多云,东北风,2级,优
2019/1/6,3℃,-7℃,多云,东南风,1级,良
2019/1/7,2℃,-7℃,多云,西北风,2级,良
2019/1/8,1℃,-10℃,晴,西北风,2级,优
2019/1/9,3℃,-9℃,晴,西南风,1级,良
2019/1/10,4℃,-7℃,晴~多云,西南风,1级,轻度污染
2019/1/11,5℃,-7℃,霾,东北风,1级,轻度污染
2019/1/12,6℃,-5℃,霾,西南风,1级,重度污染
2019/1/13,6℃,-7℃,晴,东北风,1级,中度污染
2019/1/14,6℃,-8℃,霾~晴,西北风,2级,中度污染
2019/1/15,-2℃,-10℃,晴,西北风,3级,良
2019/1/16,2℃,-8℃,晴,西南风,1级,良
2019/1/17,5℃,-9℃,晴,西北风,1级,良
2019/1/18,6℃,-6℃,霾~多云,东北风,1级,良
2019/1/19,3℃,-6℃,多云,东北风,2级,优
2019/1/20,5℃,-7℃,晴,西北风,2级,优
2019/1/21,8℃,-4℃,晴,西北风,2级,良
2019/1/22,10℃,-3℃,晴,西北风,2级,良
2019/1/23,8℃,-6℃,晴,东北风,2级,优
2019/1/24,5℃,-5℃,多云,东北风,1级,良
2019/1/25,5℃,-6℃,晴,东北风,2级,优
2019/1/26,5℃,-5℃,晴~多云,东南风,1级,优
2019/1/27,7℃,-4℃,多云~晴,西北风,2级,良
2019/1/28,6℃,-4℃,晴~多云,西北风,1级,优
2019/1/29,7℃,-4℃,多云,东南风,1级,轻度污染
2019/1/30,5℃,-7℃,多云,东北风,3级,良
2019/1/31,2℃,-8℃,多云,西北风,2级,优
2019/2/1,6℃,-5℃,晴~多云,西南风,1级,良
2019/2/2,3℃,-4℃,多云,东北风,1级,轻度污染
2019/2/3,8℃,-7℃,多云~晴,西北风,2级,轻度污染
2019/2/4,4℃,-6℃,多云~晴,东北风,1级,良
2019/2/5,5℃,-5℃,晴~霾,东南风,2级,中度污染
2019/2/6,2℃,-7℃,霾,东南风,2级,良
2019/2/7,-2℃,-7℃,多云,东北风,3级,优
2019/2/8,-1℃,-7℃,多云,西南风,2级,优
2019/2/9,0℃,-8℃,多云,东北风,2级,优
2019/2/10,0℃,-8℃,多云,东南风,1级,优
2019/2/11,3℃,-6℃,多云,东北风,2级,良
2019/2/12,-3℃,-8℃,小雪~多云,东北风,2级,优
2019/2/13,1℃,-6℃,多云,东北风,2级,优
2019/2/14,-3℃,-6℃,小雪~多云,东南风,2级,良
2019/2/15,2℃,-7℃,晴,西北风,3级,优
2019/2/16,3℃,-6℃,晴,西北风,2级,优
2019/2/17,6℃,-5℃,晴~多云,西北风,2级,优
2019/2/18,4℃,-3℃,阴,东南风,1级,优
2019/2/19,7℃,-4℃,多云~晴,西北风,2级,轻度污染
2019/2/20,9℃,-4℃,晴,西北风,1级,优
2019/2/21,11℃,-2℃,晴~多云,东南风,1级,轻度污染
2019/2/22,11℃,-2℃,霾,东北风,1级,轻度污染
2019/2/23,12℃,-2℃,霾,西南风,1级,中度污染
2019/2/24,13℃,-1℃,晴~多云,东北风,2级,轻度污染
2019/2/25,10℃,-2℃,多云,东南风,1级,良
2019/2/26,10℃,-2℃,多云,东南风,2级,良
2019/2/27,12℃,-2℃,晴,东南风,1级,轻度污染
2019/2/28,14℃,-1℃,晴,西北风,1级,轻度污染
2019/3/1,15℃,1℃,晴~多云,东北风,1级,中度污染
2019/3/2,15℃,3℃,霾,西南风,2级,重度污染
2019/3/3,15℃,2℃,霾,西南风,1级,重度污染
2019/3/4,16℃,2℃,多云,东北风,1级,轻度污染
2019/3/5,17℃,4℃,多云~晴,西北风,3级,轻度污染
2019/3/6,11℃,-2℃,晴,西北风,3级,优
2019/3/7,13℃,-1℃,晴,西南风,2级,优
2019/3/8,13℃,3℃,多云,西南风,2级,良
2019/3/9,12℃,2℃,阴~多云,东北风,2级,轻度污染
2019/3/10,13℃,2℃,小雨~多云,东北风,2级,轻度污染
2019/3/11,16℃,1℃,晴,西北风,3级,良
2019/3/12,12℃,1℃,晴,西北风,3级,优
2019/3/13,16℃,2℃,多云,西北风,2级,优
2019/3/14,15℃,4℃,多云,西北风,3级,优
2019/3/15,13℃,0℃,多云,西北风,3级,优
2019/3/16,19℃,2℃,晴,西北风,2级,良
2019/3/17,20℃,4℃,晴,西南风,2级,良
2019/3/18,21℃,6℃,多云~晴,东南风,1级,轻度污染
2019/3/19,25℃,11℃,多云,西南风,2级,中度污染
2019/3/20,17℃,6℃,小雨,西南风,2级,良
2019/3/21,13℃,0℃,晴,西北风,4级,优
2019/3/22,15℃,3℃,晴,西北风,3级,优
2019/3/23,12℃,2℃,晴,西北风,3级,优
2019/3/24,19℃,4℃,晴,西南风,2级,良
2019/3/25,22℃,5℃,晴,西北风,2级,良
2019/3/26,19℃,4℃,晴,东北风,2级,良
2019/3/27,21℃,4℃,多云,东北风,2级,轻度污染
2019/3/28,11℃,2℃,多云,东南风,3级,良
2019/3/29,13℃,4℃,多云~晴,西北风,3级,良
2019/3/30,13℃,1℃,晴,西北风,4级,优
2019/3/31,16℃,2℃,多云~晴,西北风,2级,优
2019/4/1,16℃,4℃,晴,东南风,2级,优
2019/4/2,19℃,3℃,晴,东南风,2级,良
2019/4/3,21℃,6℃,晴,西南风,2级,良
2019/4/4,28℃,9℃,多云,西北风,3级,轻度污染
2019/4/5,21℃,8℃,晴~多云,东南风,3级,重度污染
2019/4/6,20℃,6℃,多云,东北风,2级,轻度污染
2019/4/7,19℃,7℃,多云,东南风,2级,良
2019/4/8,17℃,4℃,多云~小雨,东南风,2级,良
2019/4/9,9℃,2℃,小雨~多云,东北风,2级,优
2019/4/10,18℃,9℃,多云,西北风,2级,优
2019/4/11,19℃,6℃,多云,西南风,2级,良
2019/4/12,22℃,9℃,多云,西南风,3级,良
2019/4/13,23℃,7℃,多云,东北风,2级,轻度污染
2019/4/14,23℃,8℃,晴,西南风,3级,良
2019/4/15,26℃,11℃,多云,西南风,2级,良
2019/4/16,26℃,12℃,晴,东南风,2级,良
2019/4/17,28℃,16℃,霾~多云,西南风,3级,轻度污染
2019/4/18,24℃,10℃,多云,东北风,3级,轻度污染
2019/4/19,17℃,10℃,多云~小雨,东南风,2级,良
2019/4/20,15℃,8℃,小雨~多云,东南风,1级,良
2019/4/21,22℃,8℃,晴,东南风,2级,轻度污染
2019/4/22,26℃,15℃,晴~多云,西南风,2级,轻度污染
2019/4/23,28℃,15℃,多云,东南风,2级,轻度污染
2019/4/24,19℃,9℃,小雨,东北风,3级,良
2019/4/25,18℃,8℃,多云,东北风,2级,优
2019/4/26,21℃,10℃,晴~多云,西南风,2级,优
2019/4/27,16℃,6℃,小雨~多云,西南风,3级,良
2019/4/28,19℃,9℃,多云,西南风,2级,良
2019/4/29,23℃,13℃,多云,西南风,2级,轻度污染
2019/4/30,24℃,13℃,多云,西北风,3级,良
2019/5/1,27℃,10℃,晴,西北风,2级,优
2019/5/2,29℃,14℃,晴~多云,西南风,2级,良
2019/5/3,28℃,16℃,多云,西南风,2级,良
2019/5/4,26℃,15℃,阴~小雨,西南风,2级,良
2019/5/5,23℃,10℃,多云~晴,东北风,4级,优
2019/5/6,25℃,10℃,晴,西北风,2级,优
2019/5/7,28℃,14℃,晴~多云,西南风,2级,优
2019/5/8,25℃,13℃,多云~晴,西南风,2级,良
2019/5/9,30℃,14℃,晴,西北风,2级,良
2019/5/10,30℃,14℃,多云,东南风,2级,良
2019/5/11,29℃,14℃,多云,东南风,2级,轻度污染
2019/5/12,26℃,12℃,雷阵雨~晴,西北风,2级,中度污染
2019/5/13,26℃,12℃,晴,西南风,3级,良
2019/5/14,30℃,16℃,多云,东南风,2级,良
2019/5/15,28℃,16℃,雷阵雨~多云,西南风,2级,轻度污染
2019/5/16,32℃,17℃,晴,东南风,2级,轻度污染
2019/5/17,33℃,20℃,多云~阴,东南风,2级,轻度污染
2019/5/18,29℃,18℃,阴~小雨,东南风,2级,良
2019/5/19,28℃,13℃,多云~晴,西北风,4级,良
2019/5/20,26℃,13℃,晴,西北风,4级,优
2019/5/21,31℃,14℃,晴,西北风,2级,优
2019/5/22,35℃,18℃,晴,西北风,2级,良
2019/5/23,37℃,21℃,晴,东南风,2级,良
2019/5/24,35℃,21℃,多云,西南风,3级,良
2019/5/25,35℃,20℃,多云~雷阵雨,东南风,2级,良
2019/5/26,24℃,17℃,中雨~多云,东北风,3级,良
2019/5/27,29℃,15℃,晴,西北风,3级,优
2019/5/28,32℃,17℃,晴,西北风,2级,优
2019/5/29,33℃,22℃,晴~多云,东南风,2级,良
2019/5/30,30℃,15℃,多云~晴,西北风,3级,良
2019/5/31,30℃,19℃,晴~多云,西北风,2级,优
2019/6/1,30℃,18℃,雷阵雨~多云,东南风,2级,良
2019/6/2,32℃,19℃,多云,东南风,2级,良
2019/6/3,34℃,20℃,多云,北风,2级,良
2019/6/4,28℃,19℃,雷阵雨~小雨,东南风,2级,良
2019/6/5,31℃,19℃,多云~小雨,东南风,2级,良
2019/6/6,26℃,18℃,小雨~多云,东南风,2级,良
2019/6/7,31℃,21℃,多云~雷阵雨,西南风,2级,良
2019/6/8,34℃,20℃,多云~晴,西北风,2级,良
2019/6/9,31℃,18℃,多云~晴,东北风,3级,优
2019/6/10,33℃,18℃,晴,东北风,2级,良
2019/6/11,32℃,20℃,晴~多云,东南风,2级,良
2019/6/12,33℃,22℃,多云~雷阵雨,东南风,2级,良
2019/6/13,29℃,20℃,雷阵雨~晴,东北风,2级,良
2019/6/14,35℃,20℃,晴,东北风,2级,良
2019/6/15,32℃,19℃,多云~雷阵雨,东南风,2级,良
2019/6/16,25℃,18℃,雷阵雨~多云,东南风,2级,优
2019/6/17,29℃,20℃,多云,西南风,2级,良
2019/6/18,33℃,22℃,雷阵雨,西南风,2级,轻度污染
2019/6/19,33℃,22℃,多云,东南风,2级,轻度污染
2019/6/20,36℃,23℃,多云~晴,东南风,2级,轻度污染
2019/6/21,32℃,21℃,多云,东南风,2级,良
2019/6/22,34℃,22℃,晴,西南风,2级,良
2019/6/23,35℃,23℃,晴~多云,东南风,2级,良
2019/6/24,36℃,24℃,多云,东南风,2级,良
2019/6/25,36℃,24℃,多云,东南风,2级,良
2019/6/26,35℃,22℃,多云,东南风,2级,良
2019/6/27,33℃,23℃,多云~雷阵雨,西北风,2级,良
2019/6/28,32℃,22℃,多云,西南风,3级,良
2019/6/29,35℃,23℃,多云,西北风,3级,优
2019/6/30,32℃,21℃,晴,西北风,3级,优
2019/7/1,35℃,23℃,晴~多云,东北风,1级,优
2019/7/2,35℃,23℃,多云~晴,东南风,2级,良
2019/7/3,36℃,24℃,晴,东南风,1级,良
2019/7/4,38℃,25℃,晴~多云,西南风,2级,良
2019/7/5,33℃,22℃,雷阵雨,东北风,2级,良
2019/7/6,26℃,21℃,雷阵雨~中雨,东北风,3级,优
2019/7/7,28℃,20℃,小雨~多云,东北风,3级,优
2019/7/8,30℃,22℃,多云,东南风,2级,优
2019/7/9,29℃,21℃,雷阵雨~中雨,东南风,2级,优
2019/7/10,28℃,19℃,雷阵雨~多云,东北风,2级,良
2019/7/11,29℃,21℃,多云,东南风,2级,良
2019/7/12,33℃,22℃,多云~晴,西南风,1级,良
2019/7/13,33℃,23℃,雷阵雨~多云,东北风,1级,良
2019/7/14,33℃,23℃,雷阵雨~多云,东南风,2级,优
2019/7/15,35℃,24℃,晴~多云,东南风,2级,良
2019/7/16,33℃,24℃,多云~雷阵雨,东南风,2级,良
2019/7/17,30℃,23℃,雷阵雨,东南风,2级,良
2019/7/18,32℃,24℃,阴~多云,东南风,2级,良
2019/7/19,33℃,25℃,多云~雷阵雨,东南风,2级,良
2019/7/20,30℃,24℃,雷阵雨~多云,东南风,2级,良
2019/7/21,36℃,27℃,晴~多云,西南风,2级,轻度污染
2019/7/22,35℃,25℃,多云~中雨,西南风,2级,轻度污染
2019/7/23,34℃,25℃,晴,西南风,2级,良
2019/7/24,36℃,27℃,多云~雷阵雨,西南风,2级,良
2019/7/25,35℃,26℃,多云~晴,西南风,2级,良
2019/7/26,37℃,27℃,晴,西南风,2级,良
2019/7/27,36℃,27℃,多云,东南风,2级,轻度污染
2019/7/28,35℃,26℃,多云~雷阵雨,东南风,2级,良
2019/7/29,29℃,23℃,中雨~多云,东北风,2级,优
2019/7/30,34℃,24℃,多云~晴,西南风,2级,良
2019/7/31,35℃,24℃,晴~多云,东北风,2级,良
2019/8/1,32℃,24℃,中雨~雷阵雨,东南风,2级,良
2019/8/2,30℃,24℃,雷阵雨~小雨,东南风,2级,良
2019/8/3,31℃,24℃,阴,东南风,2级,良
2019/8/4,29℃,23℃,雷阵雨,东南风,1级,良
2019/8/5,28℃,24℃,中雨~雷阵雨,东南风,2级,优
2019/8/6,30℃,24℃,雷阵雨,东南风,2级,良
2019/8/7,29℃,23℃,雷阵雨,东南风,2级,优
2019/8/8,32℃,25℃,多云~雷阵雨,东南风,2级,良
2019/8/9,30℃,23℃,雷阵雨~中雨,西南风,2级,良
2019/8/10,29℃,23℃,雷阵雨,东南风,2级,优
2019/8/11,28℃,24℃,中雨~小雨,东北风,2级,优
2019/8/12,30℃,23℃,中雨~小雨,东北风,3级,优
2019/8/13,31℃,22℃,阴~多云,西北风,2级,优
2019/8/14,32℃,21℃,多云~晴,东南风,2级,优
2019/8/15,32℃,22℃,雷阵雨~中雨,西南风,2级,优
2019/8/16,31℃,22℃,晴,西北风,3级,优
2019/8/17,31℃,19℃,晴,西北风,3级,优
2019/8/18,31℃,21℃,晴,西南风,2级,优
2019/8/19,31℃,22℃,多云,西南风,2级,良
2019/8/20,27℃,19℃,小雨~多云,东南风,2级,良
2019/8/21,31℃,21℃,晴,西北风,2级,优
2019/8/22,32℃,20℃,晴~多云,西北风,2级,优
2019/8/23,30℃,19℃,多云,西北风,2级,优
2019/8/24,30℃,18℃,晴,西南风,2级,优
2019/8/25,30℃,20℃,晴~多云,西南风,2级,良
2019/8/26,29℃,19℃,多云,西南风,2级,良
2019/8/27,33℃,20℃,晴,西北风,2级,良
2019/8/28,31℃,20℃,多云~晴,西北风,3级,优
2019/8/29,30℃,20℃,多云~晴,西北风,3级,优
2019/8/30,30℃,18℃,晴,西北风,2级,优
2019/8/31,32℃,18℃,晴,东南风,2级,优
2019/9/4,32℃,19℃,晴,东南风,2级,良
2019/9/5,33℃,20℃,晴,东南风,2级,良
2019/9/6,33℃,20℃,晴,东南风,1级,良
2019/9/1,33℃,19℃,多云~晴,西南风,2级,良
2019/9/2,34℃,20℃,晴,南风,2级,良
2019/9/3,33℃,20℃,晴,东南风,2级,良
2019/9/7,34℃,21℃,晴,西南风,2级,良
2019/9/8,35℃,22℃,晴~多云,东北风,2级,良
2019/9/9,32℃,21℃,小雨,东北风,2级,良
2019/9/10,25℃,18℃,小雨~阴,东北风,2级,优
2019/9/11,24℃,18℃,多云,西南风,2级,优
2019/9/12,25℃,18℃,阴~中雨,西南风,2级,优
2019/9/13,26℃,18℃,小雨~多云,西北风,2级,优
2019/9/14,29℃,17℃,晴~多云,西南风,2级,优
2019/9/15,28℃,17℃,多云,西南风,2级,良
2019/9/16,26℃,17℃,多云,东南风,2级,优
2019/9/17,28℃,16℃,多云~晴,西南风,2级,良
2019/9/18,24℃,14℃,晴~多云,东南风,2级,优
2019/9/19,25℃,16℃,多云~阴,西南风,1级,良
2019/9/20,27℃,16℃,多云,西北风,1级,良
2019/9/21,27℃,16℃,多云~晴,东北风,2级,良
2019/9/22,27℃,16℃,晴,东南风,1级,轻度污染
2019/9/23,30℃,17℃,晴,西北风,2级,良
2019/9/24,31℃,15℃,晴,东北风,2级,优
2019/9/25,31℃,16℃,晴,西南风,2级,良
2019/9/26,30℃,15℃,晴,东南风,1级,良
2019/9/27,29℃,15℃,晴,东南风,2级,良
2019/9/28,30℃,17℃,晴,西南风,1级,良
2019/9/29,29℃,18℃,多云,东南风,1级,良
2019/9/30,30℃,19℃,多云~晴,西南风,2级,轻度污染
2019/10/1,30℃,20℃,多云,西南风,2级,良
2019/10/2,29℃,17℃,晴~多云,东南风,2级,良
2019/10/3,29℃,13℃,多云~小雨,东南风,2级,良
2019/10/4,15℃,9℃,小雨~晴,东南风,2级,优
2019/10/5,19℃,9℃,晴~多云,东北风,2级,优
2019/10/6,19℃,9℃,多云,西南风,2级,优
2019/10/7,24℃,10℃,晴,西北风,2级,良
2019/10/8,20℃,9℃,晴,西北风,3级,优
2019/10/9,22℃,11℃,多云,西南风,2级,良
2019/10/10,22℃,12℃,多云,东南风,2级,良
2019/10/11,18℃,13℃,阴~多云,东南风,2级,良
2019/10/12,18℃,9℃,多云~小雨,东南风,2级,良
2019/10/13,12℃,5℃,小雨~多云,东南风,2级,良
2019/10/14,16℃,4℃,晴,西北风,2级,优
2019/10/15,17℃,6℃,晴~多云,西南风,1级,优
2019/10/16,15℃,9℃,阴~小雨,西南风,2级,优
2019/10/17,14℃,7℃,小雨~多云,东南风,1级,良
2019/10/18,18℃,7℃,多云,西南风,1级,良
2019/10/19,20℃,10℃,多云,西南风,1级,中度污染
2019/10/20,22℃,7℃,晴,西北风,3级,轻度污染
2019/10/21,19℃,6℃,晴,东南风,2级,优
2019/10/22,20℃,7℃,晴,东北风,1级,良
2019/10/23,21℃,11℃,多云,东北风,1级,轻度污染
2019/10/24,16℃,7℃,小雨~多云,西北风,2级,轻度污染
2019/10/25,14℃,2℃,晴,西北风,3级,优
2019/10/26,16℃,3℃,晴,西南风,2级,优
2019/10/27,18℃,5℃,晴~多云,西南风,1级,良
2019/10/28,15℃,2℃,晴,西北风,4级,轻度污染
2019/10/29,16℃,3℃,晴,西南风,1级,良
2019/10/30,20℃,5℃,晴,西南风,1级,良
2019/10/31,22℃,4℃,晴,东北风,2级,良
2019/11/1,18℃,8℃,多云~小雨,东南风,2级,良
2019/11/2,13℃,8℃,小雨,东北风,1级,良
2019/11/3,14℃,4℃,多云~晴,东南风,2级,良
2019/11/4,16℃,5℃,晴,西南风,1级,良
2019/11/5,16℃,6℃,晴~多云,东南风,2级,良
2019/11/6,16℃,5℃,多云~晴,东南风,1级,良
2019/11/7,12℃,1℃,晴,东南风,2级,良
2019/11/8,15℃,2℃,晴~多云,西北风,1级,良
2019/11/9,14℃,6℃,多云~中雨,东北风,1级,轻度污染
2019/11/10,17℃,6℃,多云~晴,西北风,4级,良
2019/11/11,16℃,4℃,晴,西北风,2级,优
2019/11/12,18℃,5℃,多云,西北风,1级,良
2019/11/13,8℃,-4℃,晴,西北风,4级,良
2019/11/14,10℃,-2℃,晴,东南风,1级,良
2019/11/15,9℃,1℃,晴,东南风,2级,良
2019/11/16,9℃,4℃,多云~小雨,东南风,2级,良
2019/11/17,12℃,-4℃,多云~晴,西北风,3级,中度污染
2019/11/18,4℃,-5℃,晴,西北风,3级,良
2019/11/19,7℃,-3℃,多云,西南风,2级,良
2019/11/20,7℃,-2℃,晴,东北风,1级,良
2019/11/21,9℃,-1℃,晴~多云,东北风,1级,轻度污染
2019/11/22,10℃,2℃,多云~阴,东北风,1级,中度污染
2019/11/23,12℃,4℃,阴~多云,西北风,2级,中度污染
2019/11/24,6℃,-5℃,晴,西北风,4级,优
2019/11/25,3℃,-5℃,晴,西南风,2级,优
2019/11/26,5℃,-4℃,晴,西北风,1级,良
2019/11/27,4℃,-6℃,晴,东北风,2级,优
2019/11/28,3℃,-5℃,晴~多云,东北风,1级,良
2019/11/29,3℃,-4℃,小雪,东南风,1级,良
2019/11/30,5℃,-5℃,多云~晴,西北风,2级,良
2019/12/1,4℃,-5℃,晴,西北风,2级,优
2019/12/2,4℃,-5℃,晴,西南风,2级,优
2019/12/3,7℃,-4℃,晴,西北风,2级,优
2019/12/4,8℃,-5℃,晴,西北风,2级,优
2019/12/5,2℃,-6℃,晴,东北风,2级,优
2019/12/6,4℃,-5℃,晴,西北风,1级,良
2019/12/7,6℃,-6℃,晴~多云,东北风,1级,良
2019/12/8,5℃,-5℃,多云,东北风,1级,中度污染
2019/12/9,3℃,-5℃,霾~雾,西北风,1级,重度污染
2019/12/10,9℃,-3℃,雾~晴,西北风,3级,轻度污染
2019/12/11,4℃,-6℃,晴,西北风,3级,优
2019/12/12,5℃,-5℃,晴,西北风,1级,优
2019/12/13,10℃,-5℃,晴,西北风,2级,优
2019/12/14,5℃,-3℃,晴~多云,东北风,1级,优
2019/12/15,3℃,-2℃,多云~中雪,东北风,1级,良
2019/12/16,2℃,-4℃,小雪~多云,东北风,1级,良
2019/12/17,6℃,-7℃,晴,西北风,3级,优
2019/12/18,2℃,-6℃,晴,东北风,1级,优
2019/12/19,2℃,-9℃,晴,西北风,3级,优
2019/12/20,3℃,-7℃,晴,东北风,1级,优
2019/12/21,4℃,-6℃,多云,东北风,1级,良
2019/12/22,5℃,-5℃,多云~晴,东北风,1级,良
2019/12/23,3℃,-4℃,多云~阴,东北风,2级,良
2019/12/24,1℃,-6℃,小雪~多云,东南风,1级,轻度污染
2019/12/25,5℃,-6℃,多云,东北风,2级,良
2019/12/26,4℃,-7℃,多云~晴,西北风,2级,优
2019/12/27,4℃,-6℃,晴,东北风,1级,良
2019/12/28,3℃,-7℃,晴~多云,东北风,1级,良
2019/12/29,5℃,-7℃,多云~晴,西北风,3级,轻度污染
2019/12/30,-5℃,-12℃,晴,西北风,4级,优
2019/12/31,-3℃,-10℃,晴,西北风,1级,优
